seq,capture_us,receive_us,delay_ms,jitter_ms,ajb_depth
0,1774351967637889,1774351967638304,0.41,0.00,2
1,1774351967664527,1774351967665019,0.49,0.04,2
2,1774351967696479,1774351968528131,831.65,391.83,2
3,1774351967728071,1774351968529485,801.41,408.18,2
4,1774351967758636,1774351968561747,803.11,397.75,2
5,1774351967789570,1774351968593746,804.18,381.80,2
6,1774351967820394,1774351968615229,794.84,364.54,2
7,1774351967851759,1774351968636460,784.70,347.87,2
8,1774351967883170,1774351968657759,774.59,332.40,2
9,1774351967915024,1774351968679104,764.08,318.22,2
10,1774351967945792,1774351968700382,754.59,305.32,4
11,1774351967976473,1774351968732340,755.87,293.88,4
12,1774351968007554,1774351968754350,746.80,283.39,4
13,1774351968038249,1774351968775061,736.81,273.74,4
14,1774351968070451,1774351968796455,726.00,264.85,4
15,1774351968100893,1774351968817688,716.79,256.67,4
16,1774351968132700,1774351968838951,706.25,249.12,4
17,1774351968164474,1774351968871206,706.73,242.20,4
18,1774351968196024,1774351968892494,696.47,235.77,4
19,1774351968228193,1774351968913633,685.44,229.81,4
20,1774351968259433,1774351968934989,675.56,169.15,4
21,1774351968290099,1774351968956417,666.32,46.98,4
22,1774351968321139,1774351968988424,667.28,45.74,4
23,1774351968351796,1774351969009736,657.94,46.54,4
24,1774351968382521,1774351969031007,648.49,46.80,4
25,1774351968413040,1774351969052353,639.31,46.37,4
26,1774351968443152,1774351969073709,630.56,46.10,4
27,1774351968473582,1774351969095058,621.48,46.07,4
28,1774351968504583,1774351969127106,622.52,45.49,4
29,1774351968534875,1774351969149194,614.32,45.22,4
30,1774351968567082,1774351969169912,602.83,45.43,4
31,1774351968598134,1774351969191052,592.92,45.02,4
32,1774351968629764,1774351969212441,582.68,44.87,4
33,1774351968661316,1774351969233682,572.37,45.08,4
34,1774351968692441,1774351969265658,573.22,44.77,4
35,1774351968723378,1774351969287068,563.69,44.75,4
36,1774351968755139,1774351969308383,553.24,45.22,4
37,1774351968785253,1774351969329751,544.50,45.04,4
38,1774351968816329,1774351969351013,534.68,45.21,4
39,1774351968848384,1774351969383024,534.64,44.98,4
40,1774351968879031,1774351969404905,525.87,45.06,4
41,1774351968909599,1774351969425750,516.15,45.47,4
42,1774351968940846,1774351969447078,506.23,45.32,4
43,1774351968971847,1774351969468326,496.48,45.43,4
44,1774351969003138,1774351969489695,486.56,45.83,4
45,1774351969034342,1774351969521754,487.41,45.59,4
46,1774351969065318,1774351969543043,477.73,45.61,4
47,1774351969096749,1774351969564399,467.65,45.96,4
48,1774351969129189,1774351969585667,456.48,45.80,4
49,1774351969160510,1774351969607710,447.20,45.72,4
50,1774351969191557,1774351969639666,448.11,45.17,4
51,1774351969222333,1774351969660403,438.07,45.01,4
52,1774351969254340,1774351969681697,427.36,45.31,1
53,1774351969285346,1774351969703234,417.89,45.97,1
54,1774351969317934,1774351969724318,406.38,46.18,1
55,1774351969348700,1774351969745744,397.04,46.59,1
56,1774351969379820,1774351969777718,397.90,46.43,1
57,1774351969410526,1774351969798996,388.47,46.49,1
58,1774351969441265,1774351969820527,379.26,46.83,1
59,1774351969472371,1774351969841701,369.33,46.66,1
60,1774351969503242,1774351969863076,359.83,46.63,1
61,1774351969535280,1774351969884354,349.07,46.95,1
62,1774351969567152,1774351969916427,349.27,46.71,1
63,1774351969598174,1774351969937834,339.66,46.77,1
64,1774351969630105,1774351969959610,329.50,47.20,1
65,1774351969661509,1774351969980413,318.90,47.08,1
66,1774351969692392,1774351970001694,309.30,47.18,1
67,1774351969722552,1774351970023113,300.56,47.45,1
68,1774351969753594,1774351970055098,301.50,47.22,1
69,1774351969785105,1774351970076357,291.25,47.32,1
70,1774351969816109,1774351970097753,281.64,46.77,1
71,1774351969848072,1774351970119050,270.98,46.58,1
